contig	superkingdom	phylum	class	order	family	genus	species
contig_4080	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4088	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4089	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4092	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4102	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4117	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4152	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4161	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_4164	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4207	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4220	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4229	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4234	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_425	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4289	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4323	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4376	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4428	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4452	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4478	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4484	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4514	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4515	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_4537	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4548	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_4605	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_4621	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
contig_4622	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4627	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4635	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii
contig_4639	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4663	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4666	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4670	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4697	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4724	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4738	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4771	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4883	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_4885	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4912	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_4925	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_4952	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4978	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_4982	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5013	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	not classified
contig_5052	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_508	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5087	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_5106	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia adecarboxylata
contig_5110	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5147	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5156	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_5157	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_5164	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5166	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5177	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	not classified
contig_5192	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_5210	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5230	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	not classified
contig_5271	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_530	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5342	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_5343	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_5373	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5406	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_549	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
contig_5500	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5526	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
contig_5559	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5605	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5611	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5641	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5643	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_5709	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	not classified
contig_5723	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_5803	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_5824	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	not classified
contig_5880	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5881	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_5883	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_5909	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5953	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_5956	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_5968	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_6006	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_6021	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6026	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_603	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_6120	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_6122	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6163	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6193	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_6219	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_6268	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6286	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6337	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6393	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	not classified
contig_646	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6468	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_6504	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6526	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_6528	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_657	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_6595	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_6661	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6676	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_671	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_6737	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_6754	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_6816	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_692	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_6934	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_694	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_6991	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7003	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7009	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7011	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_7013	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7017	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_7038	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7062	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7071	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7095	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7114	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7156	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	not classified
contig_7158	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_7253	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_789	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_797	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_831	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_902	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_924	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig_936	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	not classified	not classified
contig_996	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
contig_1142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1379	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
contig_1395	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus florum
contig_143	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1515	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_155	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_156	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1593	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1660	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
contig_1666	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1774	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1793	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gilvus
contig_1839	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus
contig_1853	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1869	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1943	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_1967	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_197	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
contig_2383	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2401	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2438	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2541	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2573	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2636	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_264	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2666	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2673	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2695	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2711	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum
contig_2733	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gilvus
contig_2737	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2851	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
contig_2892	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_2994	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_305	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3115	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3124	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
contig_3208	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3210	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3220	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3528	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3671	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3709	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3864	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3906	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_3985	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4012	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4013	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4020	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
contig_4180	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4293	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4305	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
contig_4353	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4412	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4465	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4473	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4482	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4571	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4611	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4669	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4694	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_4981	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5005	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5027	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5067	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5115	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
contig_5305	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5347	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_540	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5411	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5473	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5512	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5546	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5597	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus raffinosus
contig_5663	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5791	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_581	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5849	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5964	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6008	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6037	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6049	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6055	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_609	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6374	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6412	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6454	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6524	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6530	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6623	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_669	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6690	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
contig_675	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum
contig_6835	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6916	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6957	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_6978	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_7030	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_849	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gilvus
contig_856	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_965	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	not classified
contig_5104	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	not classified	not classified
contig_1127	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	not classified	not classified
